work_year,job_title,salary,salary_currency,salary_in_usd,employee_residence,company_location,experience_level,employment_type,remote_type,company_size
2020,Data Analyst,10000,USD,10000,NG,NG,Entry_Level,Full_time,Remote,Small
2020,AI Scientist,300000,DKK,45896,DK,DK,Entry_Level,Full_time,Hybrid,Small
2021,Machine Learning Developer,100000,USD,100000,IQ,IQ,Entry_Level,Full_time,Hybrid,Small
2021,Data Scientist,13400,USD,13400,UA,UA,Entry_Level,Full_time,Remote,Large
2021,Machine Learning Engineer,21844,USD,21844,CO,CO,Entry_Level,Full_time,Hybrid,Medium
2021,BI Data Analyst,9272,USD,9272,KE,KE,Entry_Level,Full_time,Remote,Small
2021,Computer Vision Engineer,180000,DKK,28609,DK,DK,Entry_Level,Part_time,Hybrid,Small
2021,Business Data Analyst,50000,EUR,59102,LU,LU,Entry_Level,Full_time,Remote,Large
2021,Research Scientist,100000,USD,100000,JE,CN,Entry_Level,Full_time,On_site,Large
2022,Data Scientist,100000,USD,100000,DZ,DZ,Entry_Level,Part_time,Hybrid,Medium
2022,Applied Machine Learning Scientist,29000,EUR,31875,TN,CZ,Entry_Level,Contract,Remote,Medium
2022,Data Scientist,120000,AUD,86703,AU,AU,Entry_Level,Full_time,Hybrid,Medium
2022,Computer Vision Software Engineer,150000,USD,150000,AU,AU,Entry_Level,Full_time,Remote,Small
2021,AI Scientist,12000,USD,12000,BR,US,Entry_Level,Part_time,Remote,Small
2022,Data Scientist,66500,CAD,52396,CA,CA,Entry_Level,Full_time,Remote,Large
2022,Data Analyst,67000,USD,67000,CA,CA,Entry_Level,Full_time,On_site,Medium
2022,Data Analyst,52000,USD,52000,CA,CA,Entry_Level,Full_time,On_site,Medium
2020,ML Engineer,14000,EUR,15966,DE,DE,Entry_Level,Part_time,Remote,Small
2020,Data Scientist,55000,EUR,62726,DE,DE,Entry_Level,Full_time,Hybrid,Small
2020,Data Scientist,43200,EUR,49268,DE,DE,Entry_Level,Full_time,On_site,Small
2021,Data Science Consultant,65000,EUR,76833,DE,DE,Entry_Level,Full_time,Remote,Small
