Thumbnail,Time
https://www.youtube.com/watch?v=5KWSw7M8PwQ,"3 hours, 12 minutes, 28 seconds"
https://www.youtube.com/watch?v=BchbA-csD3o,"25 minutes, 22 seconds"
https://www.youtube.com/watch?v=_29TUrrMBfg,"14 minutes, 21 seconds"
https://www.youtube.com/watch?v=IqqTk_7LtZE,"27 minutes, 43 seconds"
https://www.youtube.com/watch?v=22DSZ9J8IkE,"11 minutes, 34 seconds"
https://www.youtube.com/watch?v=X-k6k6QjGl8,"14 minutes, 24 seconds"
https://www.youtube.com/watch?v=Cyt1ubZD_sc,"2 minutes, 3 seconds"
https://www.youtube.com/watch?v=qV8grsmwPlw,"27 minutes, 11 seconds"
https://www.youtube.com/watch?v=M4nY_2oDr38,"4 minutes, 42 seconds"
https://www.youtube.com/watch?v=1Ip8_jJpFWo,"1 minute, 35 seconds"
https://www.youtube.com/watch?v=GK_Og89POiY,2 minutes
https://www.youtube.com/watch?v=WsZkbs-amKw,"10 minutes, 39 seconds"
https://www.youtube.com/watch?v=alhScZiZVq4,"2 minutes, 30 seconds"
https://www.youtube.com/watch?v=H9vizy8_YtQ,"13 minutes, 44 seconds"
https://www.youtube.com/watch?v=asI8QTwISX4,"14 minutes, 44 seconds"
https://www.youtube.com/watch?v=kHxxnSMegE8,"2 minutes, 3 seconds"
https://www.youtube.com/watch?v=FC_4iYs8Hh4,"1 hour, 55 minutes, 19 seconds"
https://www.youtube.com/watch?v=NCSdVH6vGHs,"1 minute, 49 seconds"
https://www.youtube.com/watch?v=yiqAhCd9nr4,"1 minute, 36 seconds"
https://www.youtube.com/watch?v=_rHEPNfTIa4,"15 minutes, 7 seconds"
https://www.youtube.com/watch?v=vGAGwoyERWU,"29 minutes, 44 seconds"
https://www.youtube.com/watch?v=hRHsnv3ergA,"2 minutes, 33 seconds"
https://www.youtube.com/watch?v=_asaEZ--9Y4,"12 minutes, 46 seconds"
https://www.youtube.com/watch?v=lTB3eo5Ggo8,"29 minutes, 45 seconds"
https://www.youtube.com/watch?v=2B1FgL-GkAI,"28 minutes, 17 seconds"
https://www.youtube.com/watch?v=yhDJJ7WW768,"10 minutes, 44 seconds"
https://www.youtube.com/watch?v=e4GMT_k709Q,"12 minutes, 32 seconds"
https://www.youtube.com/watch?v=Lekx9dvSSLs,27 seconds
https://www.youtube.com/watch?v=YsIdmdPYQsc,"7 minutes, 6 seconds"
https://www.youtube.com/watch?v=cZnsS84AWRY,"15 minutes, 2 seconds"
https://www.youtube.com/watch?v=vcNIsG1wUtk,"18 minutes, 59 seconds"
https://www.youtube.com/watch?v=WcJAMz_wPis,"2 hours, 28 minutes, 27 seconds"
https://www.youtube.com/watch?v=Z5j4vHk9WYU,"2 minutes, 56 seconds"
https://www.youtube.com/watch?v=tym4xHXCyFo,"15 minutes, 23 seconds"
https://www.youtube.com/watch?v=mNsMsp6MU3s,"1 hour, 39 minutes, 19 seconds"
https://www.youtube.com/watch?v=F79ZP1xNDEk,"4 hours, 30 minutes, 30 seconds"
https://www.youtube.com/watch?v=fG4mhtMeiZw,"27 minutes, 19 seconds"
https://www.youtube.com/watch?v=4cBvc9O5wG8,"1 hour, 28 seconds"
https://www.youtube.com/watch?v=-e7ya65ffF8,"10 minutes, 6 seconds"
https://www.youtube.com/watch?v=LUic7tXQYv8,"14 minutes, 53 seconds"
https://www.youtube.com/watch?v=nU3v-ylWQQg,"18 minutes, 21 seconds"
https://www.youtube.com/watch?v=-BxLRYwrvo8,"59 minutes, 5 seconds"
https://www.youtube.com/watch?v=IZpd1ByKYjs,1 minute
https://www.youtube.com/watch?v=ue_KNsyY9m4,"1 minute, 25 seconds"
https://www.youtube.com/watch?v=-P-J1IWd7x8,"15 minutes, 27 seconds"
https://www.youtube.com/watch?v=DGuFTUPXwhc,"12 minutes, 10 seconds"
https://www.youtube.com/watch?v=TTDzTCHQMo8,"7 minutes, 52 seconds"
https://www.youtube.com/watch?v=Ft1lA4JvT8I,"2 hours, 42 minutes, 20 seconds"
https://www.youtube.com/watch?v=M6eMMg5eJYE,"16 minutes, 27 seconds"
https://www.youtube.com/watch?v=hoMEkbgCU8o,"9 minutes, 16 seconds"
https://www.youtube.com/watch?v=cqtymgNiQ3A,"10 minutes, 24 seconds"
https://www.youtube.com/watch?v=hD1mU_-jgc0,2 minutes
https://www.youtube.com/watch?v=hW3ULIBPuOs,"29 minutes, 39 seconds"
https://www.youtube.com/watch?v=-LQSPzj59hE,"9 minutes, 30 seconds"
https://www.youtube.com/watch?v=ygw-nkKqVZ4,"1 hour, 50 minutes, 55 seconds"
https://www.youtube.com/watch?v=bOnGxDvdTp0,"3 minutes, 39 seconds"
https://www.youtube.com/watch?v=uhGwHoZvO8M,"2 minutes, 1 second"
https://www.youtube.com/watch?v=4_2wd7Ezr-0,"2 hours, 22 minutes, 20 seconds"
https://www.youtube.com/watch?v=d3FUsMTcJ74,"13 minutes, 2 seconds"
https://www.youtube.com/watch?v=vBeKnlQR4Eo,"26 minutes, 25 seconds"
https://www.youtube.com/watch?v=jICQVNp2ELM,"1 hour, 7 minutes, 5 seconds"
https://www.youtube.com/watch?v=tO4j532gIT8,"2 hours, 37 minutes, 50 seconds"
https://www.youtube.com/watch?v=TGKI5kMjyOo,"6 minutes, 52 seconds"
https://www.youtube.com/watch?v=uFLpx4sA5rI,"14 minutes, 58 seconds"
https://www.youtube.com/watch?v=dWOKUab6e9M,"17 minutes, 46 seconds"
https://www.youtube.com/watch?v=8LyFkLS_5TA,"3 hours, 26 minutes, 38 seconds"
https://www.youtube.com/watch?v=0uU0mFVAyiY,"1 minute, 12 seconds"
https://www.youtube.com/watch?v=FP8CAfwgdn8,"2 minutes, 13 seconds"
https://www.youtube.com/watch?v=EL09y7HEthM,"13 minutes, 13 seconds"
https://www.youtube.com/watch?v=xoK6xX8Vjig,"1 hour, 52 minutes, 3 seconds"
https://www.youtube.com/watch?v=rOB7Z2NrSFM,"10 hours, 7 minutes, 14 seconds"
https://www.youtube.com/watch?v=ZLu0YThksZc,"11 minutes, 44 seconds"
https://www.youtube.com/watch?v=-G4VATTd7Lk,"2 minutes, 13 seconds"
https://www.youtube.com/watch?v=OiMaJEnofJY,"2 hours, 37 minutes, 48 seconds"
https://www.youtube.com/watch?v=na2It5Ltj50,"2 minutes, 53 seconds"
https://www.youtube.com/watch?v=IADxE1CfAYY,"6 minutes, 43 seconds"
https://www.youtube.com/watch?v=bsqZD7Lnim8,"9 minutes, 30 seconds"
https://www.youtube.com/watch?v=dUVr8TS6xnU,"1 hour, 28 minutes, 4 seconds"
https://www.youtube.com/watch?v=CHOyZX9MMt8,"1 hour, 55 minutes, 47 seconds"
https://www.youtube.com/watch?v=-hovCl7I4PE,"10 minutes, 30 seconds"
https://www.youtube.com/watch?v=Xb8hudiOqvc,"40 minutes, 58 seconds"
https://www.youtube.com/watch?v=VsVN0HOl2BA,"11 minutes, 7 seconds"
https://www.youtube.com/watch?v=tClS4MpuCQA,"3 minutes, 11 seconds"
https://www.youtube.com/watch?v=S_En81sNC1g,"6 minutes, 27 seconds"
https://www.youtube.com/watch?v=ZhEHNu3UUeo,"11 minutes, 14 seconds"
https://www.youtube.com/watch?v=_1uSljL0_PE,"10 minutes, 1 second"
https://www.youtube.com/watch?v=JhMDkLVL-2o,"25 minutes, 21 seconds"
https://www.youtube.com/watch?v=XrBh5yy0bPI,"21 minutes, 8 seconds"
https://www.youtube.com/watch?v=fmxZguBGBGU,"14 minutes, 57 seconds"
https://www.youtube.com/watch?v=GQdjV47hhrM,"14 minutes, 22 seconds"
https://www.youtube.com/watch?v=ip-hur9pCQE,"4 minutes, 42 seconds"
https://www.youtube.com/watch?v=x6l9qWL3zYI,"10 minutes, 59 seconds"
https://www.youtube.com/watch?v=82AOqX7oUh8,"1 hour, 48 minutes, 18 seconds"
https://www.youtube.com/watch?v=QC1bOGN-VcA,"20 minutes, 23 seconds"
https://www.youtube.com/watch?v=bmcsvKv1YnE,"16 minutes, 56 seconds"
https://www.youtube.com/watch?v=h588aWG10Mo,"3 hours, 31 minutes, 45 seconds"
https://www.youtube.com/watch?v=xr-XHs7IH3k,"25 minutes, 41 seconds"
https://www.youtube.com/watch?v=_2xbmdLVaao,"1 hour, 29 minutes, 12 seconds"
https://www.youtube.com/watch?v=1JFUN0G8HgY,"2 hours, 40 minutes, 28 seconds"
https://www.youtube.com/watch?v=k8T3MMyCBOw,55 seconds
https://www.youtube.com/watch?v=5YI8G_Cv7fA,"11 minutes, 35 seconds"
https://www.youtube.com/watch?v=4Ve_uPeNAUg,"2 hours, 26 minutes, 53 seconds"
https://www.youtube.com/watch?v=ePb6c3pRX_U,"11 minutes, 28 seconds"
https://www.youtube.com/watch?v=xJRvgb0bYmM,"23 minutes, 3 seconds"
https://www.youtube.com/watch?v=TZkGCNndKNY,"1 minute, 17 seconds"
https://www.youtube.com/watch?v=qhJ8ylPzrkA,"11 minutes, 14 seconds"
https://www.youtube.com/watch?v=H5Qp8Ij8k7U,"42 minutes, 53 seconds"
https://www.youtube.com/watch?v=jJljQx2YQ7s,58 seconds
https://www.youtube.com/watch?v=nX2PphUEjsM,"12 minutes, 12 seconds"
https://www.youtube.com/watch?v=M66KoGIEh8o,"36 minutes, 37 seconds"
https://www.youtube.com/watch?v=3pTr_fK3__c,"1 hour, 45 minutes, 17 seconds"
https://www.youtube.com/watch?v=pSM5Gt875WU,44 seconds
https://www.youtube.com/watch?v=66I2FRVsBbQ,"4 minutes, 13 seconds"
https://www.youtube.com/watch?v=GCtqf1ip0oM,"4 minutes, 19 seconds"
https://www.youtube.com/watch?v=ijss8yGEM68,"1 hour, 53 minutes, 4 seconds"
https://www.youtube.com/watch?v=CvzRVbShN58,"7 minutes, 54 seconds"
https://www.youtube.com/watch?v=6ZR6O3bdBbE,"24 minutes, 37 seconds"
https://www.youtube.com/watch?v=RrOqYPLJHac,"2 minutes, 8 seconds"
https://www.youtube.com/watch?v=_yxvbgW27Y8,"9 minutes, 41 seconds"
https://www.youtube.com/watch?v=zJqzvXm0nBo,"13 minutes, 43 seconds"
https://www.youtube.com/watch?v=ofxvmMVT7FM,"20 minutes, 29 seconds"
https://www.youtube.com/watch?v=i077jwG0bt4,"8 minutes, 20 seconds"
https://www.youtube.com/watch?v=Ljs5XQ8XumI,"30 minutes, 10 seconds"
https://www.youtube.com/watch?v=-Pk9XpFGAFk,"3 minutes, 42 seconds"
https://www.youtube.com/watch?v=N0S0MlXmjXo,"13 minutes, 11 seconds"
https://www.youtube.com/watch?v=a68ODVPCGs4,"14 minutes, 14 seconds"
https://www.youtube.com/watch?v=7lE7NUqz-Gk,"19 minutes, 59 seconds"
https://www.youtube.com/watch?v=Rz0Hb4PgDF0,"12 minutes, 20 seconds"
https://www.youtube.com/watch?v=9jA-Q2qAyBU,"10 minutes, 27 seconds"
https://www.youtube.com/watch?v=R0SUq_QNwtM,"1 hour, 47 minutes, 28 seconds"
https://www.youtube.com/watch?v=-D2WUI78m_Q,"14 minutes, 41 seconds"
https://www.youtube.com/watch?v=BATUL_47cdY,"1 hour, 51 minutes, 28 seconds"
https://www.youtube.com/watch?v=YkDwWzTsWQM,"3 minutes, 9 seconds"
https://www.youtube.com/watch?v=t57f995W9dY,"12 minutes, 19 seconds"
https://www.youtube.com/watch?v=WqefQrzYjaM,"53 minutes, 37 seconds"
https://www.youtube.com/watch?v=teVkbqEJVIs,"7 minutes, 53 seconds"
